timestamp,cpu_usage,ram_usage,disk_usage
2024-03-07 08:00:00,36,58,47
2024-03-07 08:05:00,41,67,52
2024-03-07 08:10:00,47,72,59
2024-03-07 08:15:00,39,63,48
2024-03-07 08:20:00,45,71,55
2024-03-07 08:25:00,50,78,61
2024-03-07 08:30:00,55,83,68
2024-03-07 08:35:00,48,76,62
2024-03-07 08:40:00,42,69,56
2024-03-07 08:45:00,38,62,50
2024-03-07 08:50:00,41,65,53
2024-03-07 08:55:00,44,68,57
2024-03-07 09:00:00,49,73,63
2024-03-07 09:05:00,53,79,69
2024-03-07 09:10:00,57,85,75
2024-03-07 09:15:00,50,78,69
2024-03-07 09:20:00,46,72,63
2024-03-07 09:25:00,41,65,56
2024-03-07 09:30:00,37,59,50
2024-03-07 09:35:00,42,64,55
2024-03-07 09:40:00,46,68,60
2024-03-07 09:45:00,51,74,66
2024-03-07 09:50:00,55,80,72
2024-03-07 09:55:00,58,85,78
2024-03-07 10:00:00,52,78,71
2024-03-07 10:05:00,47,71,64
2024-03-07 10:10:00,43,65,58
2024-03-07 10:15:00,38,59,52
2024-03-07 10:20:00,42,64,56
2024-03-07 10:25:00,46,68,61
2024-03-07 10:30:00,51,73,67
2024-03-07 10:35:00,56,79,73
2024-03-07 10:40:00,59,84,79
2024-03-07 10:45:00,53,77,72
2024-03-07 10:50:00,48,70,65
2024-03-07 10:55:00,44,64,59
2024-03-07 11:00:00,39,58,53
2024-03-07 11:05:00,43,62,57
2024-03-07 11:10:00,47,66,62
2024-03-07 11:15:00,52,72,68
2024-03-07 11:20:00,57,78,74
2024-03-07 11:25:00,61,83,80
2024-03-07 11:30:00,54,76,73
2024-03-07 11:35:00,49,69,66
2024-03-07 11:40:00,45,63,60
2024-03-07 11:45:00,40,57,54
2024-03-07 11:50:00,44,61,58
2024-03-07 11:55:00,48,65,63
2024-03-07 12:00:00,53,71,69
2024-03-07 12:05:00,57,76,75
2024-03-07 12:10:00,62,82,81
2024-03-07 12:15:00,55,75,74
2024-03-07 12:20:00,50,69,68
2024-03-07 12:25:00,45,63,62
2024-03-07 12:30:00,41,57,56
2024-03-07 12:35:00,45,61,60
2024-03-07 12:40:00,49,65,65
2024-03-07 12:45:00,54,71,71
2024-03-07 12:50:00,59,76,77
2024-03-07 12:55:00,63,82,83
2024-03-07 13:00:00,57,75,76
2024-03-07 13:05:00,52,69,70
2024-03-07 13:10:00,47,63,64
2024-03-07 13:15:00,43,57,58
2024-03-07 13:20:00,47,61,62
2024-03-07 13:25:00,51,65,67
2024-03-07 13:30:00,56,71,73
2024-03-07 13:35:00,61,76,79
2024-03-07 13:40:00,65,82,85
2024-03-07 13:45:00,59,75,78
2024-03-07 13:50:00,54,69,72
2024-03-07 13:55:00,49,63,66
2024-03-07 14:00:00,45,57,60
2024-03-07 14:05:00,49,61,64
2024-03-07 14:10:00,53,65,69
2024-03-07 14:15:00,58,71,75
2024-03-07 14:20:00,62,76,81
2024-03-07 14:25:00,67,82,87
2024-03-07 14:30:00,60,75,80
2024-03-07 14:35:00,55,69,74
2024-03-07 14:40:00,50,63,68
2024-03-07 14:45:00,46,57,62
2024-03-07 14:50:00,50,61,67
2024-03-07 14:55:00,54,65,72
2024-03-07 15:00:00,59,71,78
2024-03-07 15:05:00,63,76,84
2024-03-07 15:10:00,68,82,90
2024-03-07 15:15:00,61,75,83
2024-03-07 15:20:00,56,69,77
2024-03-07 15:25:00,51,63,71
2024-03-07 15:30:00,47,57,65
2024-03-07 15:35:00,51,61,69
2024-03-07 15:40:00,55,65,74
2024-03-07 15:45:00,60,71,80
2024-03-07 15:50:00,64,76,86
2024-03-07 15:55:00,69,82,92
2024-03-07 16:00:00,63,75,85
2024-03-07 16:05:00,58,69,79
2024-03-07 16:10:00,53,63,73
2024-03-07 16:15:00,49,57,67
2024-03-07 16:20:00,53,61,72
2024-03-07 16:25:00,57,65,77
2024-03-07 16:30:00,62,71,83
2024-03-07 16:35:00,67,76,89
2024-03-07 16:40:00,71,82,95
2024-03-07 16:45:00,65,75,88
2024-03-07 16:50:00,60,69,82
2024-03-07 16:55:00,55,63,76
2024-03-07 17:00:00,51,57,70
2024-03-07 17:05:00,55,61,75
2024-03-07 17:10:00,60,65,80
2024-03-07 17:15:00,64,71,86
2024-03-07 17:20:00,69,76,92
2024-03-07 17:25:00,74,82,98
2024-03-07 17:30:00,68,75,91
2024-03-07 17:35:00,63,69,85
2024-03-07 17:40:00,58,63,79
2024-03-07 17:45:00,54,57,73
2024-03-07 17:50:00,58,61,78
2024-03-07 17:55:00,62,65,83
2024-03-07 18:00:00,67,71,89
2024-03-07 18:05:00,71,76,95
2024-03-07 18:10:00,76,82,10
2024-03-07 18:15:00,70,75,94
2024-03-07 18:20:00,65,69,88
2024-03-07 18:25:00,60,63,82
2024-03-07 18:30:00,56,57,76
2024-03-07 18:35:00,60,61,81
2024-03-07 18:40:00,64,65,86
2024-03-07 18:45:00,69,71,92
2024-03-07 18:50:00,73,76,98
2024-03-07 18:55:00,78,82,10
2024-03-07 19:00:00,72,75,97
2024-03-07 19:05:00,67,69,91
2024-03-07 19:10:00,62,63,85
2024-03-07 19:15:00,58,57,79
2024-03-07 19:20:00,62,61,84
2024-03-07 19:25:00,66,65,89
2024-03-07 19:30:00,71,71,95
2024-03-07 19:35:00,76,76,56
2024-03-07 19:40:00,81,82,22
2024-03-07 19:45:00,75,75,89
2024-03-07 19:50:00,70,69,94
2024-03-07 19:55:00,65,63,88
2024-03-07 20:00:00,61,57,82
2024-03-07 20:05:00,65,61,87
2024-03-07 20:10:00,69,65,92
2024-03-07 20:15:00,74,71,98
2024-03-07 20:20:00,79,76,33
2024-03-07 20:25:00,84,82,25
2024-03-07 20:30:00,78,75,99
2024-03-07 20:35:00,73,69,97
2024-03-07 20:40:00,68,63,91
2024-03-07 20:45:00,64,57,85
2024-03-07 20:50:00,68,61,90
2024-03-07 20:55:00,72,65,95
2024-03-07 21:00:00,77,71,85
2024-03-07 21:05:00,81,76,12
2024-03-07 21:10:00,86,82,98
2024-03-07 21:15:00,80,75,52
2024-03-07 21:20:00,75,69,46
2024-03-07 21:25:00,70,63,94
2024-03-07 21:30:00,66,57,88
2024-03-07 21:35:00,70,61,93
2024-03-07 21:40:00,74,65,98
